transactionId,accountId,businessDate,signedAmount,currency,eventRef
SIM-TX-A0032-03,SIM-A0032,2026-09-12,20000.00,CNY,SIM-A0032/events/2
SIM-TX-A0032-04,SIM-A0032,2026-09-12,-20000.00,CNY,SIM-A0032/events/3
SIM-TX-A0032-05,SIM-A0032,2026-09-25,30000.00,CNY,SIM-A0032/events/4
SIM-TX-A0032-06,SIM-A0032,2026-09-25,-30000.00,CNY,SIM-A0032/events/5
SIM-TX-A0041-01,SIM-A0041,2026-09-04,20000.00,CNY,SIM-A0041/events/0
SIM-TX-A0041-02,SIM-A0041,2026-09-08,-5000.00,CNY,SIM-A0041/events/1
SIM-TX-A0041-03,SIM-A0041,2026-09-14,40000.00,CNY,SIM-A0041/events/2
SIM-TX-A0041-04,SIM-A0041,2026-09-19,-10000.00,CNY,SIM-A0041/events/3
SIM-TX-A0041-05,SIM-A0041,2026-09-24,15000.00,CNY,SIM-A0041/events/4
SIM-TX-A0041-06,SIM-A0041,2026-09-28,-20000.00,CNY,SIM-A0041/events/5
SIM-TX-A0042-01,SIM-A0042,2026-09-03,10000.00,CNY,SIM-A0042/events/0
SIM-TX-A0042-02,SIM-A0042,2026-09-03,-10000.00,CNY,SIM-A0042/events/1
SIM-TX-A0042-03,SIM-A0042,2026-09-12,20000.00,CNY,SIM-A0042/events/2
SIM-TX-A0042-04,SIM-A0042,2026-09-12,-20000.00,CNY,SIM-A0042/events/3
SIM-TX-A0042-05,SIM-A0042,2026-09-25,30000.00,CNY,SIM-A0042/events/4
SIM-TX-A0042-06,SIM-A0042,2026-09-25,-30000.00,CNY,SIM-A0042/events/5
SIM-TX-A0051-01,SIM-A0051,2026-09-04,20000.00,CNY,SIM-A0051/events/0
SIM-TX-A0051-02,SIM-A0051,2026-09-08,-5000.00,CNY,SIM-A0051/events/1
SIM-TX-A0051-03,SIM-A0051,2026-09-14,40000.00,CNY,SIM-A0051/events/2
SIM-TX-A0051-04,SIM-A0051,2026-09-19,-10000.00,CNY,SIM-A0051/events/3
SIM-TX-A0051-05,SIM-A0051,2026-09-24,15000.00,CNY,SIM-A0051/events/4
SIM-TX-A0051-06,SIM-A0051,2026-09-28,-20000.00,CNY,SIM-A0051/events/5
SIM-TX-A0052-01,SIM-A0052,2026-09-03,10000.00,CNY,SIM-A0052/events/0
SIM-TX-A0052-02,SIM-A0052,2026-09-03,-10000.00,CNY,SIM-A0052/events/1
SIM-TX-A0052-03,SIM-A0052,2026-09-12,20000.00,CNY,SIM-A0052/events/2
SIM-TX-A0052-04,SIM-A0052,2026-09-12,-20000.00,CNY,SIM-A0052/events/3
SIM-TX-A0052-05,SIM-A0052,2026-09-25,30000.00,CNY,SIM-A0052/events/4
SIM-TX-A0052-06,SIM-A0052,2026-09-25,-30000.00,CNY,SIM-A0052/events/5
SIM-TX-A0061-01,SIM-A0061,2026-09-04,20000.00,CNY,SIM-A0061/events/0
SIM-TX-A0061-02,SIM-A0061,2026-09-08,-5000.00,CNY,SIM-A0061/events/1
SIM-TX-A0061-03,SIM-A0061,2026-09-14,40000.00,CNY,SIM-A0061/events/2
SIM-TX-A0061-04,SIM-A0061,2026-09-19,-10000.00,CNY,SIM-A0061/events/3
SIM-TX-A0061-05,SIM-A0061,2026-09-24,15000.00,CNY,SIM-A0061/events/4
SIM-TX-A0061-06,SIM-A0061,2026-09-28,-20000.00,CNY,SIM-A0061/events/5
SIM-TX-A0062-01,SIM-A0062,2026-09-03,10000.00,CNY,SIM-A0062/events/0
SIM-TX-A0062-02,SIM-A0062,2026-09-03,-10000.00,CNY,SIM-A0062/events/1
SIM-TX-A0062-03,SIM-A0062,2026-09-12,20000.00,CNY,SIM-A0062/events/2
SIM-TX-A0062-04,SIM-A0062,2026-09-12,-20000.00,CNY,SIM-A0062/events/3
SIM-TX-A0062-05,SIM-A0062,2026-09-25,30000.00,CNY,SIM-A0062/events/4
SIM-TX-A0062-06,SIM-A0062,2026-09-25,-30000.00,CNY,SIM-A0062/events/5
SIM-TX-A0071-01,SIM-A0071,2026-09-04,20000.00,CNY,SIM-A0071/events/0
SIM-TX-A0071-02,SIM-A0071,2026-09-08,-5000.00,CNY,SIM-A0071/events/1
SIM-TX-A0071-03,SIM-A0071,2026-09-14,40000.00,CNY,SIM-A0071/events/2
SIM-TX-A0071-04,SIM-A0071,2026-09-19,-10000.00,CNY,SIM-A0071/events/3
SIM-TX-A0071-05,SIM-A0071,2026-09-24,15000.00,CNY,SIM-A0071/events/4
SIM-TX-A0071-06,SIM-A0071,2026-09-28,-20000.00,CNY,SIM-A0071/events/5
SIM-TX-A0072-01,SIM-A0072,2026-09-03,10000.00,CNY,SIM-A0072/events/0
SIM-TX-A0072-02,SIM-A0072,2026-09-03,-10000.00,CNY,SIM-A0072/events/1
SIM-TX-A0072-03,SIM-A0072,2026-09-12,20000.00,CNY,SIM-A0072/events/2
SIM-TX-A0072-04,SIM-A0072,2026-09-12,-20000.00,CNY,SIM-A0072/events/3
SIM-TX-A0072-05,SIM-A0072,2026-09-25,30000.00,CNY,SIM-A0072/events/4
SIM-TX-A0072-06,SIM-A0072,2026-09-25,-30000.00,CNY,SIM-A0072/events/5
SIM-TX-A0081-01,SIM-A0081,2026-09-04,20000.00,CNY,SIM-A0081/events/0
SIM-TX-A0081-02,SIM-A0081,2026-09-08,-5000.00,CNY,SIM-A0081/events/1
SIM-TX-A0081-03,SIM-A0081,2026-09-14,40000.00,CNY,SIM-A0081/events/2
SIM-TX-A0081-04,SIM-A0081,2026-09-19,-10000.00,CNY,SIM-A0081/events/3
SIM-TX-A0081-05,SIM-A0081,2026-09-24,15000.00,CNY,SIM-A0081/events/4
SIM-TX-A0081-06,SIM-A0081,2026-09-28,-20000.00,CNY,SIM-A0081/events/5
SIM-TX-A0082-01,SIM-A0082,2026-09-03,10000.00,CNY,SIM-A0082/events/0
SIM-TX-A0082-02,SIM-A0082,2026-09-03,-10000.00,CNY,SIM-A0082/events/1
SIM-TX-A0082-03,SIM-A0082,2026-09-12,20000.00,CNY,SIM-A0082/events/2
SIM-TX-A0082-04,SIM-A0082,2026-09-12,-20000.00,CNY,SIM-A0082/events/3
SIM-TX-A0082-05,SIM-A0082,2026-09-25,30000.00,CNY,SIM-A0082/events/4
SIM-TX-A0082-06,SIM-A0082,2026-09-25,-30000.00,CNY,SIM-A0082/events/5
SIM-TX-A0091-01,SIM-A0091,2026-09-04,20000.00,CNY,SIM-A0091/events/0
SIM-TX-A0091-02,SIM-A0091,2026-09-08,-5000.00,CNY,SIM-A0091/events/1
SIM-TX-A0091-03,SIM-A0091,2026-09-14,40000.00,CNY,SIM-A0091/events/2
SIM-TX-A0091-04,SIM-A0091,2026-09-19,-10000.00,CNY,SIM-A0091/events/3
SIM-TX-A0091-05,SIM-A0091,2026-09-24,15000.00,CNY,SIM-A0091/events/4
SIM-TX-A0091-06,SIM-A0091,2026-09-28,-20000.00,CNY,SIM-A0091/events/5
SIM-TX-A0092-01,SIM-A0092,2026-09-03,10000.00,CNY,SIM-A0092/events/0
SIM-TX-A0092-02,SIM-A0092,2026-09-03,-10000.00,CNY,SIM-A0092/events/1
SIM-TX-A0092-03,SIM-A0092,2026-09-12,20000.00,CNY,SIM-A0092/events/2
SIM-TX-A0092-04,SIM-A0092,2026-09-12,-20000.00,CNY,SIM-A0092/events/3
SIM-TX-A0092-05,SIM-A0092,2026-09-25,30000.00,CNY,SIM-A0092/events/4
SIM-TX-A0092-06,SIM-A0092,2026-09-25,-30000.00,CNY,SIM-A0092/events/5
SIM-TX-A0101-01,SIM-A0101,2026-09-04,20000.00,CNY,SIM-A0101/events/0
SIM-TX-A0101-02,SIM-A0101,2026-09-08,-5000.00,CNY,SIM-A0101/events/1
SIM-TX-A0101-03,SIM-A0101,2026-09-14,40000.00,CNY,SIM-A0101/events/2
SIM-TX-A0101-04,SIM-A0101,2026-09-19,-10000.00,CNY,SIM-A0101/events/3
SIM-TX-A0101-05,SIM-A0101,2026-09-24,15000.00,CNY,SIM-A0101/events/4
SIM-TX-A0101-06,SIM-A0101,2026-09-28,-20000.00,CNY,SIM-A0101/events/5
SIM-TX-A0102-01,SIM-A0102,2026-09-03,10000.00,CNY,SIM-A0102/events/0
SIM-TX-A0102-02,SIM-A0102,2026-09-03,-10000.00,CNY,SIM-A0102/events/1
SIM-TX-A0102-03,SIM-A0102,2026-09-12,20000.00,CNY,SIM-A0102/events/2
SIM-TX-A0102-04,SIM-A0102,2026-09-12,-20000.00,CNY,SIM-A0102/events/3
SIM-TX-A0102-05,SIM-A0102,2026-09-25,30000.00,CNY,SIM-A0102/events/4
SIM-TX-A0102-06,SIM-A0102,2026-09-25,-30000.00,CNY,SIM-A0102/events/5
SIM-TX-A0111-01,SIM-A0111,2026-09-04,20000.00,CNY,SIM-A0111/events/0
SIM-TX-A0111-02,SIM-A0111,2026-09-08,-5000.00,CNY,SIM-A0111/events/1
SIM-TX-A0111-03,SIM-A0111,2026-09-14,40000.00,CNY,SIM-A0111/events/2
SIM-TX-A0111-04,SIM-A0111,2026-09-19,-10000.00,CNY,SIM-A0111/events/3
SIM-TX-A0111-05,SIM-A0111,2026-09-24,15000.00,CNY,SIM-A0111/events/4
SIM-TX-A0111-06,SIM-A0111,2026-09-28,-20000.00,CNY,SIM-A0111/events/5
SIM-TX-A0112-01,SIM-A0112,2026-09-03,10000.00,CNY,SIM-A0112/events/0
SIM-TX-A0112-02,SIM-A0112,2026-09-03,-10000.00,CNY,SIM-A0112/events/1
SIM-TX-A0112-03,SIM-A0112,2026-09-12,20000.00,CNY,SIM-A0112/events/2
SIM-TX-A0112-04,SIM-A0112,2026-09-12,-20000.00,CNY,SIM-A0112/events/3
SIM-TX-A0112-05,SIM-A0112,2026-09-25,30000.00,CNY,SIM-A0112/events/4
SIM-TX-A0112-06,SIM-A0112,2026-09-25,-30000.00,CNY,SIM-A0112/events/5
SIM-TX-A0121-01,SIM-A0121,2026-09-04,20000.00,CNY,SIM-A0121/events/0
SIM-TX-A0121-02,SIM-A0121,2026-09-08,-5000.00,CNY,SIM-A0121/events/1
SIM-TX-A0121-03,SIM-A0121,2026-09-14,40000.00,CNY,SIM-A0121/events/2
SIM-TX-A0121-04,SIM-A0121,2026-09-19,-10000.00,CNY,SIM-A0121/events/3
SIM-TX-A0121-05,SIM-A0121,2026-09-24,15000.00,CNY,SIM-A0121/events/4
SIM-TX-A0121-06,SIM-A0121,2026-09-28,-20000.00,CNY,SIM-A0121/events/5
SIM-TX-A0122-01,SIM-A0122,2026-09-03,10000.00,CNY,SIM-A0122/events/0
SIM-TX-A0122-02,SIM-A0122,2026-09-03,-10000.00,CNY,SIM-A0122/events/1
SIM-TX-A0122-03,SIM-A0122,2026-09-12,20000.00,CNY,SIM-A0122/events/2
SIM-TX-A0122-04,SIM-A0122,2026-09-12,-20000.00,CNY,SIM-A0122/events/3
SIM-TX-A0122-05,SIM-A0122,2026-09-25,30000.00,CNY,SIM-A0122/events/4
SIM-TX-A0122-06,SIM-A0122,2026-09-25,-30000.00,CNY,SIM-A0122/events/5
