datasetId,simulationOnly,customerId,accountId,businessDate,currency,endOfDayBalance,snapshotId,eventTime,availableAt,ingestedAt,asOf,availability,authorization,coverage,freshness,retrievalOutcome,valueState
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-16,CNY,1068000.00,SIM-SNAPSHOT-V2-20260912,2026-06-16,2026-06-17,2026-06-17,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-17,CNY,1067000.00,SIM-SNAPSHOT-V2-20260912,2026-06-17,2026-06-18,2026-06-18,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-18,CNY,1073000.00,SIM-SNAPSHOT-V2-20260912,2026-06-18,2026-06-19,2026-06-19,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-19,CNY,1079000.00,SIM-SNAPSHOT-V2-20260912,2026-06-19,2026-06-20,2026-06-20,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-20,CNY,1085000.00,SIM-SNAPSHOT-V2-20260912,2026-06-20,2026-06-21,2026-06-21,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-21,CNY,1091000.00,SIM-SNAPSHOT-V2-20260912,2026-06-21,2026-06-22,2026-06-22,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-22,CNY,1097000.00,SIM-SNAPSHOT-V2-20260912,2026-06-22,2026-06-23,2026-06-23,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-23,CNY,1103000.00,SIM-SNAPSHOT-V2-20260912,2026-06-23,2026-06-24,2026-06-24,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-24,CNY,1102000.00,SIM-SNAPSHOT-V2-20260912,2026-06-24,2026-06-25,2026-06-25,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-25,CNY,1108000.00,SIM-SNAPSHOT-V2-20260912,2026-06-25,2026-06-26,2026-06-26,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-26,CNY,1114000.00,SIM-SNAPSHOT-V2-20260912,2026-06-26,2026-06-27,2026-06-27,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-27,CNY,1120000.00,SIM-SNAPSHOT-V2-20260912,2026-06-27,2026-06-28,2026-06-28,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-28,CNY,1126000.00,SIM-SNAPSHOT-V2-20260912,2026-06-28,2026-06-29,2026-06-29,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-29,CNY,1132000.00,SIM-SNAPSHOT-V2-20260912,2026-06-29,2026-06-30,2026-06-30,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-30,CNY,1138000.00,SIM-SNAPSHOT-V2-20260912,2026-06-30,2026-07-01,2026-07-01,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-01,CNY,1137000.00,SIM-SNAPSHOT-V2-20260912,2026-07-01,2026-07-02,2026-07-02,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-02,CNY,1143000.00,SIM-SNAPSHOT-V2-20260912,2026-07-02,2026-07-03,2026-07-03,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-03,CNY,1149000.00,SIM-SNAPSHOT-V2-20260912,2026-07-03,2026-07-04,2026-07-04,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-04,CNY,1155000.00,SIM-SNAPSHOT-V2-20260912,2026-07-04,2026-07-05,2026-07-05,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-05,CNY,1161000.00,SIM-SNAPSHOT-V2-20260912,2026-07-05,2026-07-06,2026-07-06,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-06,CNY,1167000.00,SIM-SNAPSHOT-V2-20260912,2026-07-06,2026-07-07,2026-07-07,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-07,CNY,1173000.00,SIM-SNAPSHOT-V2-20260912,2026-07-07,2026-07-08,2026-07-08,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-08,CNY,1172000.00,SIM-SNAPSHOT-V2-20260912,2026-07-08,2026-07-09,2026-07-09,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-09,CNY,1178000.00,SIM-SNAPSHOT-V2-20260912,2026-07-09,2026-07-10,2026-07-10,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-10,CNY,1184000.00,SIM-SNAPSHOT-V2-20260912,2026-07-10,2026-07-11,2026-07-11,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-11,CNY,1190000.00,SIM-SNAPSHOT-V2-20260912,2026-07-11,2026-07-12,2026-07-12,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-12,CNY,1196000.00,SIM-SNAPSHOT-V2-20260912,2026-07-12,2026-07-13,2026-07-13,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-13,CNY,1202000.00,SIM-SNAPSHOT-V2-20260912,2026-07-13,2026-07-14,2026-07-14,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-14,CNY,1208000.00,SIM-SNAPSHOT-V2-20260912,2026-07-14,2026-07-15,2026-07-15,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-15,CNY,1207000.00,SIM-SNAPSHOT-V2-20260912,2026-07-15,2026-07-16,2026-07-16,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-16,CNY,1213000.00,SIM-SNAPSHOT-V2-20260912,2026-07-16,2026-07-17,2026-07-17,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-17,CNY,1219000.00,SIM-SNAPSHOT-V2-20260912,2026-07-17,2026-07-18,2026-07-18,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-18,CNY,1225000.00,SIM-SNAPSHOT-V2-20260912,2026-07-18,2026-07-19,2026-07-19,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-19,CNY,1231000.00,SIM-SNAPSHOT-V2-20260912,2026-07-19,2026-07-20,2026-07-20,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-20,CNY,1237000.00,SIM-SNAPSHOT-V2-20260912,2026-07-20,2026-07-21,2026-07-21,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-21,CNY,1243000.00,SIM-SNAPSHOT-V2-20260912,2026-07-21,2026-07-22,2026-07-22,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-22,CNY,1242000.00,SIM-SNAPSHOT-V2-20260912,2026-07-22,2026-07-23,2026-07-23,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-23,CNY,1248000.00,SIM-SNAPSHOT-V2-20260912,2026-07-23,2026-07-24,2026-07-24,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-24,CNY,1254000.00,SIM-SNAPSHOT-V2-20260912,2026-07-24,2026-07-25,2026-07-25,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-25,CNY,1260000.00,SIM-SNAPSHOT-V2-20260912,2026-07-25,2026-07-26,2026-07-26,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-26,CNY,1266000.00,SIM-SNAPSHOT-V2-20260912,2026-07-26,2026-07-27,2026-07-27,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-27,CNY,1272000.00,SIM-SNAPSHOT-V2-20260912,2026-07-27,2026-07-28,2026-07-28,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-28,CNY,1278000.00,SIM-SNAPSHOT-V2-20260912,2026-07-28,2026-07-29,2026-07-29,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-29,CNY,1277000.00,SIM-SNAPSHOT-V2-20260912,2026-07-29,2026-07-30,2026-07-30,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-30,CNY,1283000.00,SIM-SNAPSHOT-V2-20260912,2026-07-30,2026-07-31,2026-07-31,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-07-31,CNY,1289000.00,SIM-SNAPSHOT-V2-20260912,2026-07-31,2026-08-01,2026-08-01,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-01,CNY,1295000.00,SIM-SNAPSHOT-V2-20260912,2026-08-01,2026-08-02,2026-08-02,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-02,CNY,1301000.00,SIM-SNAPSHOT-V2-20260912,2026-08-02,2026-08-03,2026-08-03,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-03,CNY,1307000.00,SIM-SNAPSHOT-V2-20260912,2026-08-03,2026-08-04,2026-08-04,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-04,CNY,1313000.00,SIM-SNAPSHOT-V2-20260912,2026-08-04,2026-08-05,2026-08-05,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-05,CNY,1312000.00,SIM-SNAPSHOT-V2-20260912,2026-08-05,2026-08-06,2026-08-06,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-06,CNY,1318000.00,SIM-SNAPSHOT-V2-20260912,2026-08-06,2026-08-07,2026-08-07,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-07,CNY,1324000.00,SIM-SNAPSHOT-V2-20260912,2026-08-07,2026-08-08,2026-08-08,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-08,CNY,1330000.00,SIM-SNAPSHOT-V2-20260912,2026-08-08,2026-08-09,2026-08-09,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-09,CNY,1336000.00,SIM-SNAPSHOT-V2-20260912,2026-08-09,2026-08-10,2026-08-10,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-10,CNY,1342000.00,SIM-SNAPSHOT-V2-20260912,2026-08-10,2026-08-11,2026-08-11,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-11,CNY,1348000.00,SIM-SNAPSHOT-V2-20260912,2026-08-11,2026-08-12,2026-08-12,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-12,CNY,1347000.00,SIM-SNAPSHOT-V2-20260912,2026-08-12,2026-08-13,2026-08-13,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-13,CNY,1353000.00,SIM-SNAPSHOT-V2-20260912,2026-08-13,2026-08-14,2026-08-14,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-14,CNY,1359000.00,SIM-SNAPSHOT-V2-20260912,2026-08-14,2026-08-15,2026-08-15,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-15,CNY,1365000.00,SIM-SNAPSHOT-V2-20260912,2026-08-15,2026-08-16,2026-08-16,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-16,CNY,1371000.00,SIM-SNAPSHOT-V2-20260912,2026-08-16,2026-08-17,2026-08-17,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-17,CNY,1377000.00,SIM-SNAPSHOT-V2-20260912,2026-08-17,2026-08-18,2026-08-18,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-18,CNY,1383000.00,SIM-SNAPSHOT-V2-20260912,2026-08-18,2026-08-19,2026-08-19,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-19,CNY,1382000.00,SIM-SNAPSHOT-V2-20260912,2026-08-19,2026-08-20,2026-08-20,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-20,CNY,1388000.00,SIM-SNAPSHOT-V2-20260912,2026-08-20,2026-08-21,2026-08-21,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-21,CNY,1394000.00,SIM-SNAPSHOT-V2-20260912,2026-08-21,2026-08-22,2026-08-22,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-22,CNY,1400000.00,SIM-SNAPSHOT-V2-20260912,2026-08-22,2026-08-23,2026-08-23,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-23,CNY,1406000.00,SIM-SNAPSHOT-V2-20260912,2026-08-23,2026-08-24,2026-08-24,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-24,CNY,1412000.00,SIM-SNAPSHOT-V2-20260912,2026-08-24,2026-08-25,2026-08-25,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-25,CNY,1418000.00,SIM-SNAPSHOT-V2-20260912,2026-08-25,2026-08-26,2026-08-26,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-26,CNY,1417000.00,SIM-SNAPSHOT-V2-20260912,2026-08-26,2026-08-27,2026-08-27,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-27,CNY,1423000.00,SIM-SNAPSHOT-V2-20260912,2026-08-27,2026-08-28,2026-08-28,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-28,CNY,1429000.00,SIM-SNAPSHOT-V2-20260912,2026-08-28,2026-08-29,2026-08-29,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-29,CNY,1435000.00,SIM-SNAPSHOT-V2-20260912,2026-08-29,2026-08-30,2026-08-30,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-30,CNY,1441000.00,SIM-SNAPSHOT-V2-20260912,2026-08-30,2026-08-31,2026-08-31,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-08-31,CNY,1447000.00,SIM-SNAPSHOT-V2-20260912,2026-08-31,2026-09-01,2026-09-01,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0012,2026-06-03,CNY,1997000.00,SIM-SNAPSHOT-V2-20260912,2026-06-03,2026-06-04,2026-06-04,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
