datasetId,simulationOnly,customerId,periodStart,periodEnd,intervalConvention,calendarVersion,businessTimezone,currency,amountUnit,eventTime,sourcePublishedAt,availableAt,ingestedAt,asOf,availableAtWithinAsOf,isLatestIncompletePeriod,revenue,costOfSales,netProfit,totalAssets,totalLiabilities,debtAssetRatio,operatingCashFlow,accountsReceivable,inventory,accountsPayable,arTurnoverDays,invTurnoverDays,apTurnoverDays,cashConversionCycle,availability,authorization,coverage,freshness,retrievalOutcome,valueState,unavailableReason,note
SIM-DSV2-MONTHLY,True,SIM-C001,2025-07-01,2025-08-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2025-08-01,2025-08-16,2025-08-16,2025-08-17,2026-09-12,True,False,25600000,19968000,1536000,167000000,86840000,0.52,1280000,51200000,29952000,26624000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2025-08-01,2025-09-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2025-09-01,2025-09-16,2025-09-16,2025-09-17,2026-09-12,True,False,25900000,20202000,1554000,167900000,87308000,0.52,1295000,51800000,30303000,26936000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2025-09-01,2025-10-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2025-10-01,2025-10-16,2025-10-16,2025-10-17,2026-09-12,True,False,25000000,19500000,1500000,168800000,87776000,0.52,1250000,50000000,29250000,26000000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2025-10-01,2025-11-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2025-11-01,2025-11-16,2025-11-16,2025-11-17,2026-09-12,True,False,25300000,19734000,1518000,169700000,88244000,0.52,1265000,50600000,29601000,26312000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2025-11-01,2025-12-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2025-12-01,2025-12-16,2025-12-16,2025-12-17,2026-09-12,True,False,25600000,19968000,1536000,170600000,88712000,0.52,1280000,51200000,29952000,26624000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2025-12-01,2026-01-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2026-01-01,2026-01-16,2026-01-16,2026-01-17,2026-09-12,True,False,25900000,20202000,1554000,171500000,89180000,0.52,1295000,51800000,30303000,26936000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2026-01-01,2026-02-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2026-02-01,2026-02-16,2026-02-16,2026-02-17,2026-09-12,True,False,25000000,19500000,1500000,172400000,89648000,0.52,1250000,50000000,29250000,26000000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2026-02-01,2026-03-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2026-03-01,2026-03-16,2026-03-16,2026-03-17,2026-09-12,True,False,25300000,19734000,1518000,173300000,90116000,0.52,1265000,50600000,29601000,26312000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2026-03-01,2026-04-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2026-04-01,2026-04-16,2026-04-16,2026-04-17,2026-09-12,True,False,26250000,20475000,1181250,174200000,90584000,0.52,1312500,56875000,32077500,27300000,65,47,40,72,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2026-04-01,2026-05-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2026-05-01,2026-05-16,2026-05-16,2026-05-17,2026-09-12,True,False,27500000,21450000,1237500,175100000,91052000,0.52,1375000,64166666,35035000,28600000,70,49,40,79,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2026-05-01,2026-06-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2026-06-01,2026-06-16,2026-06-16,2026-06-17,2026-09-12,True,False,28750000,22425000,1293750,176000000,91520000,0.52,1437500,71875000,38122500,29900000,75,51,40,86,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2026-06-01,2026-07-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2026-07-01,2026-07-16,2026-07-16,2026-07-17,2026-09-12,True,False,30000000,23400000,1350000,176900000,91988000,0.52,-900000,80000000,41340000,31200000,80,53,40,93,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2026-07-01,2026-08-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2026-08-01,2026-08-16,2026-08-16,2026-08-17,2026-09-12,True,False,31250000,24375000,1406250,177800000,92456000,0.52,-937500,88541666,44687500,32500000,85,55,40,100,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2026-08-01,2026-09-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2026-09-01,2026-09-16,2026-09-16,2026-09-17,2026-09-12,False,True,,,,,,,,,,,,,,,AVAILABLE,AUTHORIZED_SIM,PARTIAL_LATEST_PERIOD,NOT_YET_PUBLISHED,PARTIAL,UNKNOWN,MTD_NOT_CLOSED,该期在 asOf 尚未发布，不得冒充已完成口径；如需使用须单独标注 MTD。
