entryId,transactionId,ledgerAccount,direction,amount,currency
SIM-TX-A0012-05-E2,SIM-TX-A0012-05,SIM-CLEARING-CNY,DEBIT,30000.00,CNY
SIM-TX-A0012-06-E1,SIM-TX-A0012-06,SIM-A0012,DEBIT,30000.00,CNY
SIM-TX-A0012-06-E2,SIM-TX-A0012-06,SIM-CLEARING-CNY,CREDIT,30000.00,CNY
SIM-TX-A0021-01-E1,SIM-TX-A0021-01,SIM-A0021,CREDIT,20000.00,CNY
SIM-TX-A0021-01-E2,SIM-TX-A0021-01,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0021-02-E1,SIM-TX-A0021-02,SIM-A0021,DEBIT,5000.00,CNY
SIM-TX-A0021-02-E2,SIM-TX-A0021-02,SIM-CLEARING-CNY,CREDIT,5000.00,CNY
SIM-TX-A0021-03-E1,SIM-TX-A0021-03,SIM-A0021,CREDIT,40000.00,CNY
SIM-TX-A0021-03-E2,SIM-TX-A0021-03,SIM-CLEARING-CNY,DEBIT,40000.00,CNY
SIM-TX-A0021-04-E1,SIM-TX-A0021-04,SIM-A0021,DEBIT,10000.00,CNY
SIM-TX-A0021-04-E2,SIM-TX-A0021-04,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0021-05-E1,SIM-TX-A0021-05,SIM-A0021,CREDIT,15000.00,CNY
SIM-TX-A0021-05-E2,SIM-TX-A0021-05,SIM-CLEARING-CNY,DEBIT,15000.00,CNY
SIM-TX-A0021-06-E1,SIM-TX-A0021-06,SIM-A0021,DEBIT,20000.00,CNY
SIM-TX-A0021-06-E2,SIM-TX-A0021-06,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0022-01-E1,SIM-TX-A0022-01,SIM-A0022,CREDIT,10000.00,USD
SIM-TX-A0022-01-E2,SIM-TX-A0022-01,SIM-CLEARING-USD,DEBIT,10000.00,USD
SIM-TX-A0022-02-E1,SIM-TX-A0022-02,SIM-A0022,DEBIT,10000.00,USD
SIM-TX-A0022-02-E2,SIM-TX-A0022-02,SIM-CLEARING-USD,CREDIT,10000.00,USD
SIM-TX-A0022-03-E1,SIM-TX-A0022-03,SIM-A0022,CREDIT,20000.00,USD
SIM-TX-A0022-03-E2,SIM-TX-A0022-03,SIM-CLEARING-USD,DEBIT,20000.00,USD
SIM-TX-A0022-04-E1,SIM-TX-A0022-04,SIM-A0022,DEBIT,20000.00,USD
SIM-TX-A0022-04-E2,SIM-TX-A0022-04,SIM-CLEARING-USD,CREDIT,20000.00,USD
SIM-TX-A0022-05-E1,SIM-TX-A0022-05,SIM-A0022,CREDIT,30000.00,USD
SIM-TX-A0022-05-E2,SIM-TX-A0022-05,SIM-CLEARING-USD,DEBIT,30000.00,USD
SIM-TX-A0022-06-E1,SIM-TX-A0022-06,SIM-A0022,DEBIT,30000.00,USD
SIM-TX-A0022-06-E2,SIM-TX-A0022-06,SIM-CLEARING-USD,CREDIT,30000.00,USD
SIM-TX-A0031-01-E1,SIM-TX-A0031-01,SIM-A0031,CREDIT,20000.00,CNY
SIM-TX-A0031-01-E2,SIM-TX-A0031-01,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0031-02-E1,SIM-TX-A0031-02,SIM-A0031,DEBIT,5000.00,CNY
SIM-TX-A0031-02-E2,SIM-TX-A0031-02,SIM-CLEARING-CNY,CREDIT,5000.00,CNY
SIM-TX-A0031-03-E1,SIM-TX-A0031-03,SIM-A0031,CREDIT,40000.00,CNY
SIM-TX-A0031-03-E2,SIM-TX-A0031-03,SIM-CLEARING-CNY,DEBIT,40000.00,CNY
SIM-TX-A0031-04-E1,SIM-TX-A0031-04,SIM-A0031,DEBIT,10000.00,CNY
SIM-TX-A0031-04-E2,SIM-TX-A0031-04,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0031-05-E1,SIM-TX-A0031-05,SIM-A0031,CREDIT,15000.00,CNY
SIM-TX-A0031-05-E2,SIM-TX-A0031-05,SIM-CLEARING-CNY,DEBIT,15000.00,CNY
SIM-TX-A0031-06-E1,SIM-TX-A0031-06,SIM-A0031,DEBIT,20000.00,CNY
SIM-TX-A0031-06-E2,SIM-TX-A0031-06,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0032-01-E1,SIM-TX-A0032-01,SIM-A0032,CREDIT,10000.00,CNY
SIM-TX-A0032-01-E2,SIM-TX-A0032-01,SIM-CLEARING-CNY,DEBIT,10000.00,CNY
SIM-TX-A0032-02-E1,SIM-TX-A0032-02,SIM-A0032,DEBIT,10000.00,CNY
SIM-TX-A0032-02-E2,SIM-TX-A0032-02,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0032-03-E1,SIM-TX-A0032-03,SIM-A0032,CREDIT,20000.00,CNY
SIM-TX-A0032-03-E2,SIM-TX-A0032-03,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0032-04-E1,SIM-TX-A0032-04,SIM-A0032,DEBIT,20000.00,CNY
SIM-TX-A0032-04-E2,SIM-TX-A0032-04,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0032-05-E1,SIM-TX-A0032-05,SIM-A0032,CREDIT,30000.00,CNY
SIM-TX-A0032-05-E2,SIM-TX-A0032-05,SIM-CLEARING-CNY,DEBIT,30000.00,CNY
SIM-TX-A0032-06-E1,SIM-TX-A0032-06,SIM-A0032,DEBIT,30000.00,CNY
SIM-TX-A0032-06-E2,SIM-TX-A0032-06,SIM-CLEARING-CNY,CREDIT,30000.00,CNY
SIM-TX-A0041-01-E1,SIM-TX-A0041-01,SIM-A0041,CREDIT,20000.00,CNY
SIM-TX-A0041-01-E2,SIM-TX-A0041-01,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0041-02-E1,SIM-TX-A0041-02,SIM-A0041,DEBIT,5000.00,CNY
SIM-TX-A0041-02-E2,SIM-TX-A0041-02,SIM-CLEARING-CNY,CREDIT,5000.00,CNY
SIM-TX-A0041-03-E1,SIM-TX-A0041-03,SIM-A0041,CREDIT,40000.00,CNY
SIM-TX-A0041-03-E2,SIM-TX-A0041-03,SIM-CLEARING-CNY,DEBIT,40000.00,CNY
SIM-TX-A0041-04-E1,SIM-TX-A0041-04,SIM-A0041,DEBIT,10000.00,CNY
SIM-TX-A0041-04-E2,SIM-TX-A0041-04,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0041-05-E1,SIM-TX-A0041-05,SIM-A0041,CREDIT,15000.00,CNY
SIM-TX-A0041-05-E2,SIM-TX-A0041-05,SIM-CLEARING-CNY,DEBIT,15000.00,CNY
SIM-TX-A0041-06-E1,SIM-TX-A0041-06,SIM-A0041,DEBIT,20000.00,CNY
SIM-TX-A0041-06-E2,SIM-TX-A0041-06,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0042-01-E1,SIM-TX-A0042-01,SIM-A0042,CREDIT,10000.00,CNY
SIM-TX-A0042-01-E2,SIM-TX-A0042-01,SIM-CLEARING-CNY,DEBIT,10000.00,CNY
SIM-TX-A0042-02-E1,SIM-TX-A0042-02,SIM-A0042,DEBIT,10000.00,CNY
SIM-TX-A0042-02-E2,SIM-TX-A0042-02,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0042-03-E1,SIM-TX-A0042-03,SIM-A0042,CREDIT,20000.00,CNY
SIM-TX-A0042-03-E2,SIM-TX-A0042-03,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0042-04-E1,SIM-TX-A0042-04,SIM-A0042,DEBIT,20000.00,CNY
SIM-TX-A0042-04-E2,SIM-TX-A0042-04,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0042-05-E1,SIM-TX-A0042-05,SIM-A0042,CREDIT,30000.00,CNY
SIM-TX-A0042-05-E2,SIM-TX-A0042-05,SIM-CLEARING-CNY,DEBIT,30000.00,CNY
SIM-TX-A0042-06-E1,SIM-TX-A0042-06,SIM-A0042,DEBIT,30000.00,CNY
SIM-TX-A0042-06-E2,SIM-TX-A0042-06,SIM-CLEARING-CNY,CREDIT,30000.00,CNY
SIM-TX-A0051-01-E1,SIM-TX-A0051-01,SIM-A0051,CREDIT,20000.00,CNY
SIM-TX-A0051-01-E2,SIM-TX-A0051-01,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0051-02-E1,SIM-TX-A0051-02,SIM-A0051,DEBIT,5000.00,CNY
SIM-TX-A0051-02-E2,SIM-TX-A0051-02,SIM-CLEARING-CNY,CREDIT,5000.00,CNY
SIM-TX-A0051-03-E1,SIM-TX-A0051-03,SIM-A0051,CREDIT,40000.00,CNY
SIM-TX-A0051-03-E2,SIM-TX-A0051-03,SIM-CLEARING-CNY,DEBIT,40000.00,CNY
SIM-TX-A0051-04-E1,SIM-TX-A0051-04,SIM-A0051,DEBIT,10000.00,CNY
SIM-TX-A0051-04-E2,SIM-TX-A0051-04,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0051-05-E1,SIM-TX-A0051-05,SIM-A0051,CREDIT,15000.00,CNY
SIM-TX-A0051-05-E2,SIM-TX-A0051-05,SIM-CLEARING-CNY,DEBIT,15000.00,CNY
SIM-TX-A0051-06-E1,SIM-TX-A0051-06,SIM-A0051,DEBIT,20000.00,CNY
SIM-TX-A0051-06-E2,SIM-TX-A0051-06,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0052-01-E1,SIM-TX-A0052-01,SIM-A0052,CREDIT,10000.00,CNY
SIM-TX-A0052-01-E2,SIM-TX-A0052-01,SIM-CLEARING-CNY,DEBIT,10000.00,CNY
SIM-TX-A0052-02-E1,SIM-TX-A0052-02,SIM-A0052,DEBIT,10000.00,CNY
SIM-TX-A0052-02-E2,SIM-TX-A0052-02,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0052-03-E1,SIM-TX-A0052-03,SIM-A0052,CREDIT,20000.00,CNY
SIM-TX-A0052-03-E2,SIM-TX-A0052-03,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0052-04-E1,SIM-TX-A0052-04,SIM-A0052,DEBIT,20000.00,CNY
SIM-TX-A0052-04-E2,SIM-TX-A0052-04,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0052-05-E1,SIM-TX-A0052-05,SIM-A0052,CREDIT,30000.00,CNY
SIM-TX-A0052-05-E2,SIM-TX-A0052-05,SIM-CLEARING-CNY,DEBIT,30000.00,CNY
SIM-TX-A0052-06-E1,SIM-TX-A0052-06,SIM-A0052,DEBIT,30000.00,CNY
SIM-TX-A0052-06-E2,SIM-TX-A0052-06,SIM-CLEARING-CNY,CREDIT,30000.00,CNY
SIM-TX-A0061-01-E1,SIM-TX-A0061-01,SIM-A0061,CREDIT,20000.00,CNY
SIM-TX-A0061-01-E2,SIM-TX-A0061-01,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0061-02-E1,SIM-TX-A0061-02,SIM-A0061,DEBIT,5000.00,CNY
SIM-TX-A0061-02-E2,SIM-TX-A0061-02,SIM-CLEARING-CNY,CREDIT,5000.00,CNY
SIM-TX-A0061-03-E1,SIM-TX-A0061-03,SIM-A0061,CREDIT,40000.00,CNY
SIM-TX-A0061-03-E2,SIM-TX-A0061-03,SIM-CLEARING-CNY,DEBIT,40000.00,CNY
SIM-TX-A0061-04-E1,SIM-TX-A0061-04,SIM-A0061,DEBIT,10000.00,CNY
SIM-TX-A0061-04-E2,SIM-TX-A0061-04,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0061-05-E1,SIM-TX-A0061-05,SIM-A0061,CREDIT,15000.00,CNY
SIM-TX-A0061-05-E2,SIM-TX-A0061-05,SIM-CLEARING-CNY,DEBIT,15000.00,CNY
SIM-TX-A0061-06-E1,SIM-TX-A0061-06,SIM-A0061,DEBIT,20000.00,CNY
SIM-TX-A0061-06-E2,SIM-TX-A0061-06,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0062-01-E1,SIM-TX-A0062-01,SIM-A0062,CREDIT,10000.00,CNY
SIM-TX-A0062-01-E2,SIM-TX-A0062-01,SIM-CLEARING-CNY,DEBIT,10000.00,CNY
SIM-TX-A0062-02-E1,SIM-TX-A0062-02,SIM-A0062,DEBIT,10000.00,CNY
SIM-TX-A0062-02-E2,SIM-TX-A0062-02,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0062-03-E1,SIM-TX-A0062-03,SIM-A0062,CREDIT,20000.00,CNY
SIM-TX-A0062-03-E2,SIM-TX-A0062-03,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0062-04-E1,SIM-TX-A0062-04,SIM-A0062,DEBIT,20000.00,CNY
SIM-TX-A0062-04-E2,SIM-TX-A0062-04,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0062-05-E1,SIM-TX-A0062-05,SIM-A0062,CREDIT,30000.00,CNY
SIM-TX-A0062-05-E2,SIM-TX-A0062-05,SIM-CLEARING-CNY,DEBIT,30000.00,CNY
SIM-TX-A0062-06-E1,SIM-TX-A0062-06,SIM-A0062,DEBIT,30000.00,CNY
SIM-TX-A0062-06-E2,SIM-TX-A0062-06,SIM-CLEARING-CNY,CREDIT,30000.00,CNY
SIM-TX-A0071-01-E1,SIM-TX-A0071-01,SIM-A0071,CREDIT,20000.00,CNY
SIM-TX-A0071-01-E2,SIM-TX-A0071-01,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0071-02-E1,SIM-TX-A0071-02,SIM-A0071,DEBIT,5000.00,CNY
SIM-TX-A0071-02-E2,SIM-TX-A0071-02,SIM-CLEARING-CNY,CREDIT,5000.00,CNY
SIM-TX-A0071-03-E1,SIM-TX-A0071-03,SIM-A0071,CREDIT,40000.00,CNY
SIM-TX-A0071-03-E2,SIM-TX-A0071-03,SIM-CLEARING-CNY,DEBIT,40000.00,CNY
SIM-TX-A0071-04-E1,SIM-TX-A0071-04,SIM-A0071,DEBIT,10000.00,CNY
SIM-TX-A0071-04-E2,SIM-TX-A0071-04,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0071-05-E1,SIM-TX-A0071-05,SIM-A0071,CREDIT,15000.00,CNY
SIM-TX-A0071-05-E2,SIM-TX-A0071-05,SIM-CLEARING-CNY,DEBIT,15000.00,CNY
SIM-TX-A0071-06-E1,SIM-TX-A0071-06,SIM-A0071,DEBIT,20000.00,CNY
SIM-TX-A0071-06-E2,SIM-TX-A0071-06,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0072-01-E1,SIM-TX-A0072-01,SIM-A0072,CREDIT,10000.00,CNY
SIM-TX-A0072-01-E2,SIM-TX-A0072-01,SIM-CLEARING-CNY,DEBIT,10000.00,CNY
SIM-TX-A0072-02-E1,SIM-TX-A0072-02,SIM-A0072,DEBIT,10000.00,CNY
SIM-TX-A0072-02-E2,SIM-TX-A0072-02,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0072-03-E1,SIM-TX-A0072-03,SIM-A0072,CREDIT,20000.00,CNY
SIM-TX-A0072-03-E2,SIM-TX-A0072-03,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0072-04-E1,SIM-TX-A0072-04,SIM-A0072,DEBIT,20000.00,CNY
SIM-TX-A0072-04-E2,SIM-TX-A0072-04,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0072-05-E1,SIM-TX-A0072-05,SIM-A0072,CREDIT,30000.00,CNY
SIM-TX-A0072-05-E2,SIM-TX-A0072-05,SIM-CLEARING-CNY,DEBIT,30000.00,CNY
SIM-TX-A0072-06-E1,SIM-TX-A0072-06,SIM-A0072,DEBIT,30000.00,CNY
SIM-TX-A0072-06-E2,SIM-TX-A0072-06,SIM-CLEARING-CNY,CREDIT,30000.00,CNY
SIM-TX-A0081-01-E1,SIM-TX-A0081-01,SIM-A0081,CREDIT,20000.00,CNY
SIM-TX-A0081-01-E2,SIM-TX-A0081-01,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0081-02-E1,SIM-TX-A0081-02,SIM-A0081,DEBIT,5000.00,CNY
SIM-TX-A0081-02-E2,SIM-TX-A0081-02,SIM-CLEARING-CNY,CREDIT,5000.00,CNY
SIM-TX-A0081-03-E1,SIM-TX-A0081-03,SIM-A0081,CREDIT,40000.00,CNY
SIM-TX-A0081-03-E2,SIM-TX-A0081-03,SIM-CLEARING-CNY,DEBIT,40000.00,CNY
SIM-TX-A0081-04-E1,SIM-TX-A0081-04,SIM-A0081,DEBIT,10000.00,CNY
SIM-TX-A0081-04-E2,SIM-TX-A0081-04,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0081-05-E1,SIM-TX-A0081-05,SIM-A0081,CREDIT,15000.00,CNY
SIM-TX-A0081-05-E2,SIM-TX-A0081-05,SIM-CLEARING-CNY,DEBIT,15000.00,CNY
SIM-TX-A0081-06-E1,SIM-TX-A0081-06,SIM-A0081,DEBIT,20000.00,CNY
SIM-TX-A0081-06-E2,SIM-TX-A0081-06,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0082-01-E1,SIM-TX-A0082-01,SIM-A0082,CREDIT,10000.00,CNY
SIM-TX-A0082-01-E2,SIM-TX-A0082-01,SIM-CLEARING-CNY,DEBIT,10000.00,CNY
SIM-TX-A0082-02-E1,SIM-TX-A0082-02,SIM-A0082,DEBIT,10000.00,CNY
SIM-TX-A0082-02-E2,SIM-TX-A0082-02,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0082-03-E1,SIM-TX-A0082-03,SIM-A0082,CREDIT,20000.00,CNY
SIM-TX-A0082-03-E2,SIM-TX-A0082-03,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0082-04-E1,SIM-TX-A0082-04,SIM-A0082,DEBIT,20000.00,CNY
SIM-TX-A0082-04-E2,SIM-TX-A0082-04,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0082-05-E1,SIM-TX-A0082-05,SIM-A0082,CREDIT,30000.00,CNY
SIM-TX-A0082-05-E2,SIM-TX-A0082-05,SIM-CLEARING-CNY,DEBIT,30000.00,CNY
SIM-TX-A0082-06-E1,SIM-TX-A0082-06,SIM-A0082,DEBIT,30000.00,CNY
SIM-TX-A0082-06-E2,SIM-TX-A0082-06,SIM-CLEARING-CNY,CREDIT,30000.00,CNY
SIM-TX-A0091-01-E1,SIM-TX-A0091-01,SIM-A0091,CREDIT,20000.00,CNY
SIM-TX-A0091-01-E2,SIM-TX-A0091-01,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0091-02-E1,SIM-TX-A0091-02,SIM-A0091,DEBIT,5000.00,CNY
SIM-TX-A0091-02-E2,SIM-TX-A0091-02,SIM-CLEARING-CNY,CREDIT,5000.00,CNY
SIM-TX-A0091-03-E1,SIM-TX-A0091-03,SIM-A0091,CREDIT,40000.00,CNY
SIM-TX-A0091-03-E2,SIM-TX-A0091-03,SIM-CLEARING-CNY,DEBIT,40000.00,CNY
SIM-TX-A0091-04-E1,SIM-TX-A0091-04,SIM-A0091,DEBIT,10000.00,CNY
SIM-TX-A0091-04-E2,SIM-TX-A0091-04,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0091-05-E1,SIM-TX-A0091-05,SIM-A0091,CREDIT,15000.00,CNY
SIM-TX-A0091-05-E2,SIM-TX-A0091-05,SIM-CLEARING-CNY,DEBIT,15000.00,CNY
SIM-TX-A0091-06-E1,SIM-TX-A0091-06,SIM-A0091,DEBIT,20000.00,CNY
SIM-TX-A0091-06-E2,SIM-TX-A0091-06,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0092-01-E1,SIM-TX-A0092-01,SIM-A0092,CREDIT,10000.00,CNY
SIM-TX-A0092-01-E2,SIM-TX-A0092-01,SIM-CLEARING-CNY,DEBIT,10000.00,CNY
SIM-TX-A0092-02-E1,SIM-TX-A0092-02,SIM-A0092,DEBIT,10000.00,CNY
SIM-TX-A0092-02-E2,SIM-TX-A0092-02,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0092-03-E1,SIM-TX-A0092-03,SIM-A0092,CREDIT,20000.00,CNY
SIM-TX-A0092-03-E2,SIM-TX-A0092-03,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0092-04-E1,SIM-TX-A0092-04,SIM-A0092,DEBIT,20000.00,CNY
SIM-TX-A0092-04-E2,SIM-TX-A0092-04,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0092-05-E1,SIM-TX-A0092-05,SIM-A0092,CREDIT,30000.00,CNY
SIM-TX-A0092-05-E2,SIM-TX-A0092-05,SIM-CLEARING-CNY,DEBIT,30000.00,CNY
SIM-TX-A0092-06-E1,SIM-TX-A0092-06,SIM-A0092,DEBIT,30000.00,CNY
SIM-TX-A0092-06-E2,SIM-TX-A0092-06,SIM-CLEARING-CNY,CREDIT,30000.00,CNY
SIM-TX-A0101-01-E1,SIM-TX-A0101-01,SIM-A0101,CREDIT,20000.00,CNY
SIM-TX-A0101-01-E2,SIM-TX-A0101-01,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0101-02-E1,SIM-TX-A0101-02,SIM-A0101,DEBIT,5000.00,CNY
SIM-TX-A0101-02-E2,SIM-TX-A0101-02,SIM-CLEARING-CNY,CREDIT,5000.00,CNY
SIM-TX-A0101-03-E1,SIM-TX-A0101-03,SIM-A0101,CREDIT,40000.00,CNY
SIM-TX-A0101-03-E2,SIM-TX-A0101-03,SIM-CLEARING-CNY,DEBIT,40000.00,CNY
SIM-TX-A0101-04-E1,SIM-TX-A0101-04,SIM-A0101,DEBIT,10000.00,CNY
SIM-TX-A0101-04-E2,SIM-TX-A0101-04,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0101-05-E1,SIM-TX-A0101-05,SIM-A0101,CREDIT,15000.00,CNY
SIM-TX-A0101-05-E2,SIM-TX-A0101-05,SIM-CLEARING-CNY,DEBIT,15000.00,CNY
SIM-TX-A0101-06-E1,SIM-TX-A0101-06,SIM-A0101,DEBIT,20000.00,CNY
SIM-TX-A0101-06-E2,SIM-TX-A0101-06,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0102-01-E1,SIM-TX-A0102-01,SIM-A0102,CREDIT,10000.00,CNY
SIM-TX-A0102-01-E2,SIM-TX-A0102-01,SIM-CLEARING-CNY,DEBIT,10000.00,CNY
SIM-TX-A0102-02-E1,SIM-TX-A0102-02,SIM-A0102,DEBIT,10000.00,CNY
SIM-TX-A0102-02-E2,SIM-TX-A0102-02,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0102-03-E1,SIM-TX-A0102-03,SIM-A0102,CREDIT,20000.00,CNY
SIM-TX-A0102-03-E2,SIM-TX-A0102-03,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0102-04-E1,SIM-TX-A0102-04,SIM-A0102,DEBIT,20000.00,CNY
SIM-TX-A0102-04-E2,SIM-TX-A0102-04,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0102-05-E1,SIM-TX-A0102-05,SIM-A0102,CREDIT,30000.00,CNY
SIM-TX-A0102-05-E2,SIM-TX-A0102-05,SIM-CLEARING-CNY,DEBIT,30000.00,CNY
SIM-TX-A0102-06-E1,SIM-TX-A0102-06,SIM-A0102,DEBIT,30000.00,CNY
SIM-TX-A0102-06-E2,SIM-TX-A0102-06,SIM-CLEARING-CNY,CREDIT,30000.00,CNY
SIM-TX-A0111-01-E1,SIM-TX-A0111-01,SIM-A0111,CREDIT,20000.00,CNY
SIM-TX-A0111-01-E2,SIM-TX-A0111-01,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0111-02-E1,SIM-TX-A0111-02,SIM-A0111,DEBIT,5000.00,CNY
SIM-TX-A0111-02-E2,SIM-TX-A0111-02,SIM-CLEARING-CNY,CREDIT,5000.00,CNY
SIM-TX-A0111-03-E1,SIM-TX-A0111-03,SIM-A0111,CREDIT,40000.00,CNY
SIM-TX-A0111-03-E2,SIM-TX-A0111-03,SIM-CLEARING-CNY,DEBIT,40000.00,CNY
SIM-TX-A0111-04-E1,SIM-TX-A0111-04,SIM-A0111,DEBIT,10000.00,CNY
SIM-TX-A0111-04-E2,SIM-TX-A0111-04,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0111-05-E1,SIM-TX-A0111-05,SIM-A0111,CREDIT,15000.00,CNY
SIM-TX-A0111-05-E2,SIM-TX-A0111-05,SIM-CLEARING-CNY,DEBIT,15000.00,CNY
SIM-TX-A0111-06-E1,SIM-TX-A0111-06,SIM-A0111,DEBIT,20000.00,CNY
SIM-TX-A0111-06-E2,SIM-TX-A0111-06,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0112-01-E1,SIM-TX-A0112-01,SIM-A0112,CREDIT,10000.00,CNY
